[ID]	[KEY/ABSTRACT]	[KEYWORDS]	[DISCOURSE (T/I/B/C)]	[NUM_PARAGRAPHS]	[PARAGRAPH]	[PREVIOUS_PARAGRAPH]
plot-4_2	K	мена[SEP]угостил хорошенько и подарил ему кусок золота величиной с конскую голову[SEP]а навстречу ему барышник целый табун лошадей гонит[SEP]а навстречу ему коробейник с коробом за спиной[SEP]стал через плетень перелезать и иглу потерял[SEP]стал через плетень перелезать и потерял[SEP]— променяй мне поросенка на любую иглу[SEP]попал на глубокое место и стал тонуть[SEP]и теперь живет старичок со старушкой[SEP]а навстречу овчар гонит овечье стадо[SEP]— променяй мне вола на любого барана	B	5	Купец не знает, как старика благодарить	Шел мимо старик, мужичок-серячок, услыхал крик, кинулся и купца из воды вытащил
plot-4_3	K	мена[SEP]угостил хорошенько и подарил ему кусок золота величиной с конскую голову[SEP]а навстречу ему барышник целый табун лошадей гонит[SEP]а навстречу ему коробейник с коробом за спиной[SEP]стал через плетень перелезать и иглу потерял[SEP]стал через плетень перелезать и потерял[SEP]— променяй мне поросенка на любую иглу[SEP]попал на глубокое место и стал тонуть[SEP]и теперь живет старичок со старушкой[SEP]а навстречу овчар гонит овечье стадо[SEP]— променяй мне вола на любого барана	B	5	позвал к себе в город, угостил хорошенько и подарил ему кусок золота величиной с конскую голову	Купец не знает, как старика благодарить
plot-4_4	K	мена[SEP]угостил хорошенько и подарил ему кусок золота величиной с конскую голову[SEP]а навстречу ему барышник целый табун лошадей гонит[SEP]а навстречу ему коробейник с коробом за спиной[SEP]стал через плетень перелезать и иглу потерял[SEP]стал через плетень перелезать и потерял[SEP]— променяй мне поросенка на любую иглу[SEP]попал на глубокое место и стал тонуть[SEP]и теперь живет старичок со старушкой[SEP]а навстречу овчар гонит овечье стадо[SEP]— променяй мне вола на любого барана	C	5	Взял золото мужичок и идет домой, а навстречу ему барышник целый табун лошадей гонит — Здравствуй, старик Откуда бредешь — Из города, от богатого купца — Что же тебе купец дал — Кусок золота с конскую голову — Отдай мне золото, возьми лучшего коня Взял старик лучшего коня, поблагодарил и пошел дальше Идет старик, а навстречу ему пастух волов гонит — Здравствуй, старик Откуда бредешь — Из города, от купца — Что ж тебе купец дал — Кусок золота с конскую голову — А где ж оно — Променял на коня — Променяй мне коня на любого вола Старик выбрал вола, поблагодарил и пошел Идет старичок, а навстречу овчар гонит овечье стадо — Здравствуй, старичок Откуда бредешь — Из города, от богатого купца — Что же тебе купец дал — Золота с конскую голову — Где же оно — Променял на коня — А конь где — Променял на вола — Променяй мне вола на любого барана Взял старик лучшего барана, поблагодарил и пошел дальше Идет старик, а навстречу свинопас поросят гонит — Здравствуй, старик — В городе, у богатого купца — Что же тебе купец дал — Кусок золота с конскую голову — Где же оно — Променял на коня — А конь где — Променял на вола — А вол где — Променял на барана — Давай мне барана, бери себе лучшего поросенка Выбрал старик поросенка, поблагодарил пастуха и пошел Идет старик, а навстречу ему коробейник с коробом за спиной — Здравствуй, старик Откуда идешь — От купца из города — А что тебе купец дал — Золота с конскую голову — Где же оно — Променял на коня — А конь где — Променял на вола — А вол где — Променял на барана — А баран где — Променял на порося — Променяй мне поросенка на любую иглу Выбрал старик славную иголку, поблагодарил и пошел домой Пришел старик домой, стал через плетень перелезать и иглу потерял Выбежала старику навстречу старушка — Ах, голубчик мой, я без тебя здесь совсем пропала Ну, рассказывай был ты у купца — Что тебе купец дал — Кусок золота с конскую голову — Где же оно — Променял на коня — А конь где — Променял на вола — А вол где — Променял на барана — А баран где — Променял на поросенка — А поросенок где — Променял на иглу хотел тебе, старая, подарочек принести, стал через плетень перелезать и потерял — Ну хорошо, голубчик, что ты хоть сам вернулся Пойдем в избу ужинать И теперь живет старичок со старушкой, счастливы и без золота	позвал к себе в город, угостил хорошенько и подарил ему кусок золота величиной с конскую голову
plot-5_0	K	поп и батрак[SEP]— так пусть вся твоя травонька обратно встанет как некошеная[SEP]то поп накормил его и повел в луга указывать свой покос[SEP]траву я у тебя всю скосил до единой травинки[SEP]и поп всегда давал ему с собой хлеба и сала[SEP]но так как поп был очень скупой и все искал[SEP]чтобы кто к нему пошел как можно подешевле[SEP]лег на траву и проспал весь день до вечера[SEP]в самом деле стоит трава как некошеная »[SEP]— буду платить смотря по твоей работе[SEP]работник остался недоволен и говорит	I	5	Потребовался одному попу батрак	NA
plot-5_1	K	поп и батрак[SEP]— так пусть вся твоя травонька обратно встанет как некошеная[SEP]то поп накормил его и повел в луга указывать свой покос[SEP]траву я у тебя всю скосил до единой травинки[SEP]и поп всегда давал ему с собой хлеба и сала[SEP]но так как поп был очень скупой и все искал[SEP]чтобы кто к нему пошел как можно подешевле[SEP]лег на траву и проспал весь день до вечера[SEP]в самом деле стоит трава как некошеная »[SEP]— буду платить смотря по твоей работе[SEP]работник остался недоволен и говорит	B	5	Но так как поп был очень скупой и все искал, чтобы кто к нему пошел как можно подешевле, то никто к нему не нанимался	Потребовался одному попу батрак
plot-5_2	K	поп и батрак[SEP]— так пусть вся твоя травонька обратно встанет как некошеная[SEP]то поп накормил его и повел в луга указывать свой покос[SEP]траву я у тебя всю скосил до единой травинки[SEP]и поп всегда давал ему с собой хлеба и сала[SEP]но так как поп был очень скупой и все искал[SEP]чтобы кто к нему пошел как можно подешевле[SEP]лег на траву и проспал весь день до вечера[SEP]в самом деле стоит трава как некошеная »[SEP]— буду платить смотря по твоей работе[SEP]работник остался недоволен и говорит	B	5	Вот раз приходит к нему мужик-шутник и просит сена для лошади	Но так как поп был очень скупой и все искал, чтобы кто к нему пошел как можно подешевле, то никто к нему не нанимался
plot-5_3	K	поп и батрак[SEP]— так пусть вся твоя травонька обратно встанет как некошеная[SEP]то поп накормил его и повел в луга указывать свой покос[SEP]траву я у тебя всю скосил до единой травинки[SEP]и поп всегда давал ему с собой хлеба и сала[SEP]но так как поп был очень скупой и все искал[SEP]чтобы кто к нему пошел как можно подешевле[SEP]лег на траву и проспал весь день до вечера[SEP]в самом деле стоит трава как некошеная »[SEP]— буду платить смотря по твоей работе[SEP]работник остался недоволен и говорит	B	5	А поп ему говорит	Вот раз приходит к нему мужик-шутник и просит сена для лошади
plot-5_4	K	поп и батрак[SEP]— так пусть вся твоя травонька обратно встанет как некошеная[SEP]то поп накормил его и повел в луга указывать свой покос[SEP]траву я у тебя всю скосил до единой травинки[SEP]и поп всегда давал ему с собой хлеба и сала[SEP]но так как поп был очень скупой и все искал[SEP]чтобы кто к нему пошел как можно подешевле[SEP]лег на траву и проспал весь день до вечера[SEP]в самом деле стоит трава как некошеная »[SEP]— буду платить смотря по твоей работе[SEP]работник остался недоволен и говорит	C	5	— Ты такой здоровый, молодой, а ходишь собираешь Наймись-ка, свет, ко мне в работники А сколько дашь — Буду платить смотря по твоей работе И сказал мужику цену А как был тогда сенокос, то поп накормил его и повел в луга указывать свой покос Работник осмотрелся, а когда поп ушел, лег на траву и проспал весь день до вечера Каждый день мужик-шутник ходил на покос, и поп всегда давал ему с собой хлеба и сала И вот раз батрак говорит — Больше я у тебя работать не буду, давай мне расчет Траву я у тебя всю скосил до единой травинки Дал ему поп всего несколько копеек Работник остался недоволен и говорит — Прибавь еще хоть кусок сала Но поп ему отказал наотрез — Я и то тебе переплатил, дал больше обещанного — Ну, раз ты мне не дашь сала, сказал работник, — так пусть вся твоя травонька обратно встанет как некошеная А поп пошел на луга, посмотрел и удивился «Этот батрак не простой, а колдун в самом деле стоит трава как некошеная»	А поп ему говорит
plot-6_0	K	сестрица аленушка и братец иванушка[SEP]а козленочек от радости три раза перекинулся через голову и обернулся мальчиком иванушкой[SEP]узнала об этом ведьма и стала просить мужа — зарежь да зарежь козлёнка[SEP]ведьму привязали к лошадиному хвосту и пустили в чистое поле[SEP]не послушался иванушка и напился из козьего копытца[SEP]а вместо иванушки бежит за ней беленький козленочек[SEP]закинули сети шелковые и вытащили алёнушку на берег[SEP]утром и вечером ходит по бережку около воды и зовет[SEP]по берегу бегает козленочек и жалобнехонько зовет[SEP]привязала алёнушке на шею камень и бросила в воду[SEP]пошла аленушка на работу и братца с собой взяла	I	5	Жили-были старик да старуха, у них была дочка Алёнушка да сынок Иванушка	NA
plot-6_1	K	сестрица аленушка и братец иванушка[SEP]а козленочек от радости три раза перекинулся через голову и обернулся мальчиком иванушкой[SEP]узнала об этом ведьма и стала просить мужа — зарежь да зарежь козлёнка[SEP]ведьму привязали к лошадиному хвосту и пустили в чистое поле[SEP]не послушался иванушка и напился из козьего копытца[SEP]а вместо иванушки бежит за ней беленький козленочек[SEP]закинули сети шелковые и вытащили алёнушку на берег[SEP]утром и вечером ходит по бережку около воды и зовет[SEP]по берегу бегает козленочек и жалобнехонько зовет[SEP]привязала алёнушке на шею камень и бросила в воду[SEP]пошла аленушка на работу и братца с собой взяла	B	5	Старик со старухой умерли	Жили-были старик да старуха, у них была дочка Алёнушка да сынок Иванушка
plot-6_2	K	сестрица аленушка и братец иванушка[SEP]а козленочек от радости три раза перекинулся через голову и обернулся мальчиком иванушкой[SEP]узнала об этом ведьма и стала просить мужа — зарежь да зарежь козлёнка[SEP]ведьму привязали к лошадиному хвосту и пустили в чистое поле[SEP]не послушался иванушка и напился из козьего копытца[SEP]а вместо иванушки бежит за ней беленький козленочек[SEP]закинули сети шелковые и вытащили алёнушку на берег[SEP]утром и вечером ходит по бережку около воды и зовет[SEP]по берегу бегает козленочек и жалобнехонько зовет[SEP]привязала алёнушке на шею камень и бросила в воду[SEP]пошла аленушка на работу и братца с собой взяла	B	5	Остались Аленушка да Иванушка одни-одинешеньки	Старик со старухой умерли
plot-6_3	K	сестрица аленушка и братец иванушка[SEP]а козленочек от радости три раза перекинулся через голову и обернулся мальчиком иванушкой[SEP]узнала об этом ведьма и стала просить мужа — зарежь да зарежь козлёнка[SEP]ведьму привязали к лошадиному хвосту и пустили в чистое поле[SEP]не послушался иванушка и напился из козьего копытца[SEP]а вместо иванушки бежит за ней беленький козленочек[SEP]закинули сети шелковые и вытащили алёнушку на берег[SEP]утром и вечером ходит по бережку около воды и зовет[SEP]по берегу бегает козленочек и жалобнехонько зовет[SEP]привязала алёнушке на шею камень и бросила в воду[SEP]пошла аленушка на работу и братца с собой взяла	B	5	Пошла Аленушка на работу и братца с собой взяла	Остались Аленушка да Иванушка одни-одинешеньки
plot-6_4	K	сестрица аленушка и братец иванушка[SEP]а козленочек от радости три раза перекинулся через голову и обернулся мальчиком иванушкой[SEP]узнала об этом ведьма и стала просить мужа — зарежь да зарежь козлёнка[SEP]ведьму привязали к лошадиному хвосту и пустили в чистое поле[SEP]не послушался иванушка и напился из козьего копытца[SEP]а вместо иванушки бежит за ней беленький козленочек[SEP]закинули сети шелковые и вытащили алёнушку на берег[SEP]утром и вечером ходит по бережку около воды и зовет[SEP]по берегу бегает козленочек и жалобнехонько зовет[SEP]привязала алёнушке на шею камень и бросила в воду[SEP]пошла аленушка на работу и братца с собой взяла	C	5	Идут они по дальнему пути, по широкому полю, и захотелось Иванушке пить — Сестрица Аленушка, я пить хочу — Подожди, братец, дойдем до колодца Шли-шли — солнце высоко, колодец далеко, жар донимает, пот выступает Стоит коровье копытце полно водицы — Сестрица Аленушка, хлебну я из копытца — Не пей, братец, теленочком станешь Братец послушался, пошли дальше Солнце высоко, колодец далеко, жар донимает, пот выступает Стоит лошадиное копытце полно водицы — Сестрица Аленушка, напьюсь я из копытца — Не пей, братец, жеребеночком станешь Вздохнул Иванушка, опять пошли дальше Солнце высоко, колодец далеко, жар донимает, пот выступает Стоит козье копытце полно водицы Иванушка говорит — Сестрица Алёнушка, мочи нет напьюсь я из копытца — Не пей, братец, козленочком станешь Не послушался Иванушка и напился из козьего копытца Напился и стал козленочком Зовет Алёнушка братца, а вместо Иванушки бежит за ней беленький козленочек Залилась Аленушка слезами, села под стожок — плачет, а козленочек возле нее скачет В ту пору ехал мимо купец — О чем, красная девица, плачешь Рассказала ему Аленушка про свою беду Купец ей говорит — Поди за меня замуж Я тебя наряжу в злато-серебро, и козленочек будет жить с нами Аленушка подумала, подумала и пошла за купца замуж Стали они жить-поживать, и козленочек с ними живет, ест-пьет с Аленушкой из одной чашки Один раз купца не было дома Откуда ни возьмись, приходит ведьма стала под Аленушкино окошко и так-то ласково начала звать ее купаться на реку Привела ведьма Алёнушку на реку Кинулась на нее, привязала Алёнушке на шею камень и бросила в воду А сама оборотилась Аленушкой, нарядилась в ее платье и пришла в ее хоромы Никто ведьму не распознал Купец вернулся — и тот не распознал Одному козлёночку все было ведомо Повесил он голову, не пьет, не ест Утром и вечером ходит по бережку около воды и зовет — Алёнушка, сестрица моя Выплынь, выплынь на бережок Узнала об этом ведьма и стала просить мужа — зарежь да зарежь козлёнка Купцу жалко было козленочка, привык он к нему А ведьма так пристает, так упрашивает, — делать нечего, купец согласился — Ну, зарежь его Велела ведьма разложить костры высокие, греть котлы чугунные, точить ножи булатные Козленочек проведал, что ему недолго жить, и говорит названому отцу — Перед смертью пусти меня на речку сходить, водицы испить, кишочки прополоскать — Ну, сходи Побежал козлёночек на речку, стал на берегу и жалобнехонько закричал — Аленушка, сестрица моя Выплынь, выплынь на бережок	Пошла Аленушка на работу и братца с собой взяла
